original,result
0011011100001101,ok
0011011011010100,fail
1111100101100111,fail
0001101100001011,ok
0111001100111101,fail
1011010010001000,ok
0001010010011111,ok
0010001000001110,ok
0001111100001000,ok
0010000110101100,ok
0111011001000000,fail
0010011000001010,fail
1011011101111111,fail
0010101010110011,ok
0111100101000011,ok
0111101101000101,ok
1011011010000010,ok
1010110011110101,ok
1101010110001101,fail
0111111001001000,ok
1101001000000000,ok
1011000110110011,ok
0001001001100011,fail
1110000110010100,ok
0011101001011110,ok
0010000011010011,ok
0110101101001010,fail
0010100110111101,ok
0100111000100010,ok
1110001110010101,fail
1101000010000111,fail
0000111101010001,fail
0010011000111101,ok
1101011010110000,fail
1110111010011001,ok
0101001000110010,fail
0011000111011101,fail
0101000101100011,fail
1111101100001101,fail
1101010110111111,fail
1111100100100100,ok
0000100100110011,fail
1010111010100001,fail
1100001100010101,fail
1111011110010000,ok
1110110011110100,fail
1111101100000100,ok
0110100101101010,ok
1100110001010111,fail
1001011111001010,fail
0010101011001000,fail
0000001010010101,ok
1111101111111001,ok
1101000010000000,fail
0101101111100111,fail
0110111111101111,ok
0011111010111101,fail
0011011111010101,ok
0110111000110111,ok
0111001000111011,fail
1011000010000101,ok
1111101101011101,fail
1111001101010001,ok
1011100011000100,fail
0111011000111111,fail
1001110111100111,fail
1111100001010011,fail
0011010000010111,fail
0111101001000011,ok
0110000000111100,ok
0000100010100011,fail
0010111110110010,fail
1100101001111111,ok
1011001101110111,ok
1101000101000001,fail
1100100000101101,fail
0110100110100000,ok
1011011001111010,ok
1101101001000100,fail
1010010011101101,fail
1101110100000010,ok
0001000111001011,ok
0110010001000001,fail
0101001101110101,fail
1101000110000010,ok
1101100000011011,fail
0000011001001100,ok
1101100111000001,fail
0010001111011001,fail
0110010001100111,ok
0011111111011010,fail
0111101101111001,fail
0110100011101100,fail
1101001111110101,ok
0011111100111101,fail
1110111110110000,ok
0100010000111011,ok
0011010111010111,ok
1000000001001011,ok
0011100011010110,ok
1101000010001111,ok
1100010101000110,ok
1011011011110101,ok
0010000001101001,fail
0111001100111011,ok
0001100010100100,fail
1011011101000001,ok
0010110000010100,fail
0011000100011001,fail
1011010011111010,ok
0111011000111110,ok
1110110010011011,ok
1111000110001100,fail
1000001001001010,ok
0000000010010110,ok
0011011011001001,ok
0110111000111000,fail
0000100111111011,ok
0000001011001000,ok
0011000011100101,fail
1110111110010101,ok
0011011110110101,fail
0100111111101100,fail
0000101010010110,ok
1000101001000011,ok
1111100000001001,fail
0011111010111010,fail
0001100111000111,fail
0010000011001010,fail
0110100001111110,fail
0111000101000101,fail
0110000000110101,ok
0000100110101000,ok
1011110001010001,fail
0110110000101110,fail
0000111110011100,ok
0011100111010111,ok
1110010000000000,fail
0100101110100100,ok
1011000010000001,ok
0111011000111101,ok
1100100110000110,ok
1000110111011101,ok
0111100000111111,fail
0111101001000001,ok
0000001101011110,fail
0100011000010101,fail
0000011001010100,fail
0011011010110101,ok
0011101011011000,ok
0011001000010001,fail
1000001111011010,fail
1011011010000100,ok
0011001100010010,fail
1011111111001100,fail
0010100010110011,ok
1100110111110011,fail
0100111100100001,fail
0011010110110110,ok
0111110001000000,ok
0011110111011011,ok
1011001100011011,fail
0110001001100010,ok
0010011011000011,ok
1101011110001011,fail
1101011011111110,ok
0011100101101000,ok
1110101110011111,ok
0100011101000011,fail
1101111110010010,ok
0011010001011100,ok
0101011100100100,ok
1110111010010111,fail
0001100011010001,fail
0110000001111000,ok
1110100000000101,ok
0111100000111110,ok
0010001110101010,ok
0100111000101000,ok
1101001011110100,ok
1111000000001110,ok
0101000100101011,ok
1111001110111101,ok
1110111110011110,fail
0000011111001111,ok
0011001011010111,fail
0110010001111000,ok
1111000000000111,fail
0110001101101110,fail
0001010011001000,fail
0100000100101101,fail
1110101010010100,ok
1110111110011001,ok
1111001010011100,ok
0110101101110110,ok
0110010011101001,fail
0111111110000000,fail
0000001100010000,fail
1000111111000010,fail
0101100000110010,ok
0101000101100011,ok
1110111010010110,fail
1111100000001010,ok
0101100110111000,fail
1111000110011001,fail
0100010011100100,fail
0100101111011111,ok
0000111000001101,ok
1111010110011101,ok
0100111111011100,ok
0000000101000111,fail
0000011100010001,ok
0110100101101010,fail
0111011101111000,ok
0110001111101011,fail
1001010011111001,ok
0101110000110110,fail
0101110001000001,ok
0010100111001101,fail
0101111001100111,fail
0010111110101010,ok
1111011110011011,fail
1000000110000001,ok
0011100011010110,fail
1000001001001010,ok
0000000110100100,ok
1000100001111101,ok
1000110101111010,ok
0111100011101001,ok
1101010101011101,fail
0010011100100010,ok
0000011010101001,ok
1111100110011100,ok
0101111100111001,fail
1111101000000001,ok
1001110001000110,fail
1010001101010010,fail
1000101000111111,ok
0000101000010000,ok
0000001000000100,fail
0010111110110111,fail
0111100101110111,fail
0000110100001111,ok
0001001000010100,fail
1000010001111100,fail
0110100100011001,ok
0111010011101111,ok
0000100010101010,ok
0101111000111000,ok
1111110100000100,ok
1111111010100000,ok
1110010101011111,ok
1011100011010010,ok
0001001100010100,fail
1000000001110101,ok
1010100111000110,fail
1001111111111101,ok
1010001001111110,fail
0010111010000100,fail
0110001100111101,fail
0010011111000100,ok
0100111100101000,ok
0101111100111000,ok
0110001100111100,ok
0010100011000101,ok
0010100111000110,ok
0000101110100111,ok
0010101011000111,fail
1101010011110100,fail
1111110011001101,ok
1110000100000001,ok
1110100110010110,ok
1110101010010111,fail
1111010100001011,fail
1110111010011011,ok
0100001011011010,ok
1111110100001111,fail
0000000100010001,ok
