original,result,corrected
0100110000010111011000110111101110111001100111,fail,0100110010010111001000110101101110111001100111
00001101000101110110001101111011110100,ok,
1100110100010110011000111000001110100001100001,ok,
1001110000010110011000111000001010100001100001011000100110010101111010001101001011000110110000101101100,fail,1001110000010110011000111000001010100001100001011000100110010101111010001101001011000110110000101101100
010011010001011001100011100000101010010110111001100101,ok,
10011101000101110110001110010010100101011000010110010001111001,fail,000111010001011101100011100100101001010110000101100100011110000
01001100000101100110001110011011101111,ok,
01001100000101100110001110100,ok,
0000110100010111011000111010001110010101110010,fail,0000110100010111011000111010001110010101110010
01011100000101100110001110100010100101011100100110010101100100,fail,01001100000101100100000110100010100101011100100110010101100100
0000110000010111011000111010001110010101110010011011100110000100111010001100101,fail,0000110000010111011000111010001110010101110010011011100110000100111010001100101
11001100000101100110001110100011100101011100100110111001100001011110100011010010111011001100101,fail,11001100100100100010101110100011100101011100100110111001100001011110100011010010111011001100101
010011010001011001100011101000101001010111001001101110011000010011101000110100101110110011001010110110001111001,ok,
0100110000010110011000111010001010010101110010011011100110000100111010001101001011101100110010101110011,fail,0100110000010110011000111010001010010101110010011011100110000100101000001101001010100100110010101110011
01001100000101110110001110100010101000011011110111010101100111011101000,ok,
00001101000101110110001110100011101111,fail,00001101000101110110001110100011101111
0001110100010111011000111010101110110101101001011011100110100100111010101101101,ok,
11001101000101100110001110101010101101011010010110111001110101011101101,ok,
110111010001011001100011101010111011010110111001101001,ok,
100111000001011001100011101110101000010111100101110011,ok,
010011010001011101101,ok,
010111010001011001101011000010101011100110010001100001,ok,
00011100000101100110101100001010110100011001010111010101110010,ok,
11001101000101110110101100001010111010011010010110111001100111,ok,
000111000001011001101011000010111110100110111101101110,ok,
0000110100010110011010110000101111101001101111011011100110001101110111101101101,fail,0000110100010110011010110000101111101001101111011011100110001101110111101101101
100011010001011101101011000010111110100110111101101110011000110011011110111010101101011,fail,100011010001011101101011000010111010100110111101101010011000110011011100111010100101011
100111000001011101101011000100111000010111001101110011011000010111001000110111101110010,ok,
1100110000010111011010110001001110010101110010,fail,1100110000010111011010110001001110010101110010
010011000001011001101011000100101010010110010101101110,ok,
10011100000101100110101100010010101001011001010110111001110100,ok,
01011101000101100110101100100,ok,
0100110000010110011010110010101110111001100100,ok,
00011101000101110110101100101010101110011001000110010101100100,ok,
0000110000010111011010110010101010111001100100011011010110010101110111001110100,fail,0000110000010111011010110010101010111001100100011011010110010101110111001110100
100011000001011001101011001010101011100110010001101101011001010011011100111010001110011,ok,
0000110000010110011010110010101010111001101001011101000110100101110010101110011,fail,0000110000010110011010110010101010111001101001011101000110100101110010101110011
11001100000101110110101100101010110010011010010110001101100001,fail,11001100000101100110101100101010110010011110010110001101110001
11011100000101110110101100101010110010011010010110001101100001011101110,fail,11011100000101110110101000101010110010001010010010001101100001011101110
0101110100010111011010110010101011001001101001011000110110000100110111001110011,ok,
01001100000101110110101100101010110010011010010110001101100001011110011,ok,
1100110100010110011010110100101010111001101111,ok,
1101110000010110011010110111101110111001100111,ok,
00001100000101110110101101111010101110011001110111001101110100,fail,00001100000101110110101101111010101110011001110111001101110100
110111000001011001101011011110111101010110111001110100,fail,110111000001011001101011011110111101010110111001110100
11011101000101110110101101111010110101011011100111010001110011,ok,
00011101000101100110101110000,ok,
00011100000101110110101110000010101100011000010110111001100100,ok,
0100110000010111011010111000001110110001101001011001100110100100110010101110010,ok,
0001110000010110011010111001101011010001100101011100100110010000110000101101101,fail,0001110000010110011010111001101011010001100101011100100110010000110000101101101
11001101000101100110101111001,ok,
110011010001011101110,ok,
10001101000101100111001100001,ok,
11001101000101100111001100001011101000011001010110100101101101,ok,
00001100000101110111001100001011101100,ok,
110011000001011001110011000010101011000110111101100111,ok,
00011101000101100111001100001011101100011110010111001101100101011110011,fail,00011101001101100111001100001011101100011110010110001101000101011110011
11001101000101100111001100001011101100011110010111001101101001011110011,fail,10001101000101100111001110101011101100011110010111001101101001011110011
10001101000101100111001100001011101100011110010111001101110100,fail,10001101100101100111001100001011011100111110110111001101110100
00001101000101100111001100001011101100011110010111001101110100011110011,ok,
100011000001011101110011000010101011000111100101110100011010010111000110110000101101100,fail,100011000001011101110011000010101011000111100101110100011010010111000110110000101101100
00001101000101100111001100001011101100011110010111101001100101,ok,
01011101000101100111001100001011101100011110010111101001100101011100100,ok,
01001101000101110111001100001011110100011011110110110101111001,ok,
110011010001011001110011000110101010000110111101110010,ok,
10001101000101110111001100011010101001011001010110111001110100,ok,
11011101000101100111001100100,ok,
010011000001011101110011001000101000010110110001100101,ok,
00011100000101100111001100100010100101011100100111001101101111011101110,ok,
01001101000101100111001100100010101111011100100111001001100001,fail,01001101000101100111001100100010101111011100100111001001100001
010011000001011001110011001000101100100110010101100001,fail,010011000001011001110011001000101100100110010101100001
01001101000101110111001100100011110010011001010110000101110011,fail,01001101000101110111001100100011110010011001010110000101110011
100011000001011101110011001000111100100110010101110111,fail,100011000001011101110011001000111100100110010101110111
